X Y Z Doppler RCS Label Mahalanobis_Error
4.456163 0.430496 -1.067325 -0.521628 8.090000 0.000000 0.431192
4.881126 1.532391 -1.067241 -0.507124 6.740000 0.000000 0.388704
4.607656 1.665968 -1.064335 -0.505135 7.680000 0.000000 0.290338
5.093695 0.084687 -1.063557 -0.542715 7.680000 0.000000 0.162225
5.094751 0.397801 -1.063453 -0.512977 6.810000 0.000000 0.641145
4.096826 0.982429 -1.063139 -0.564821 7.350000 0.000000 0.492905
3.270331 2.702005 -1.056757 -0.409458 7.630000 0.000000 0.340287
4.231019 2.329995 -1.053930 -0.503821 8.400000 0.000000 0.249193
4.538929 1.705671 -1.053579 -0.536138 8.010000 0.000000 0.260256
4.163882 2.691472 -1.052201 -0.492539 7.870000 0.000000 0.370843
4.785975 1.481337 -1.046582 -0.528691 7.110000 0.000000 0.041349
3.973621 2.515836 -1.045298 -0.526401 8.290000 0.000000 0.902120
3.785233 1.559623 -1.042171 -0.495291 6.780000 0.000000 0.249915
5.017604 1.666191 -1.041909 -0.539622 8.740000 0.000000 0.173837
4.068955 0.157767 -1.038518 -0.553373 7.350000 0.000000 0.103707
4.125053 1.389773 -1.033450 -0.516192 7.250000 0.000000 0.133269
4.070170 0.054132 -1.022124 -0.553615 8.300000 0.000000 0.098494
4.648674 0.901447 -1.019106 -0.548155 7.750000 0.000000 0.071057
4.345978 1.644287 -1.009726 -0.534704 8.190000 0.000000 0.243342
4.917669 1.642550 -1.002741 -0.539336 8.790000 0.000000 0.168149
4.302748 0.447400 -0.995079 -0.542345 7.220000 0.000000 0.099037
3.921096 1.158001 -0.994239 -0.546482 6.730000 0.000000 0.282773
3.915494 1.385947 -0.991238 -0.523851 7.480000 0.000000 0.038169
4.264240 0.523273 -0.989059 -0.551343 8.650000 0.000000 0.065687
5.144156 0.416223 -0.987363 -0.552611 7.560000 0.000000 0.011284
5.059299 0.058170 -0.986619 -0.553689 7.950000 0.000000 0.003319
4.234916 1.266877 -0.976393 -0.546734 7.850000 0.000000 0.254455
4.196148 1.163951 -0.935741 -0.511494 7.650000 0.000000 0.386411
4.614252 -0.217983 -1.141132 -0.483173 7.370000 0.000000 1.055209
5.491937 -0.263210 -1.132588 -0.573915 3.620000 0.000000 0.371240
4.951270 -0.251123 -1.111075 -0.573827 7.600000 0.000000 0.403753
5.145650 -1.965191 -1.104066 -0.561319 7.970000 0.000000 0.804181
5.180058 -0.150792 -1.096615 -0.522867 8.170000 0.000000 0.474466
4.839240 -0.140802 -1.079589 -0.542840 6.420000 0.000000 0.123339
4.415822 -0.182600 -1.066003 -0.543890 8.540000 0.000000 0.065015
4.508117 -0.165941 -1.040644 -0.553781 7.700000 0.000000 0.075944
4.622930 -1.798826 -1.036052 -0.540144 7.400000 0.000000 0.488484
4.286261 -0.303681 -1.005245 -0.553308 6.300000 0.000000 0.097393
5.360485 -0.985586 -0.999432 -0.512014 7.890000 0.000000 0.523793
4.313618 -0.929578 -0.992758 -0.548278 7.480000 0.000000 0.205576
4.706263 -1.746735 -0.966209 -0.511063 7.010000 0.000000 0.072044
3.903721 -1.618919 -0.952483 -0.532564 9.020000 0.000000 0.468969
5.910752 3.879878 -1.523974 -0.514860 7.870000 0.000000 0.779243
4.937605 3.612514 -1.493720 -0.446669 8.570000 0.000000 0.050366
6.341233 2.815305 -1.403547 -0.523644 8.680000 0.000000 0.220478
5.826969 3.327430 -1.396094 -0.458096 7.430000 0.000000 0.457140
5.921675 3.369185 -1.344560 -0.454945 7.730000 0.000000 0.531899
5.253603 2.169226 -1.324258 -0.533656 7.510000 0.000000 0.347783
6.341307 1.278375 -1.267539 -0.517051 7.960000 0.000000 0.464624
6.243326 2.992276 -1.251632 -0.479080 7.620000 0.000000 0.442157
4.973743 2.669626 -1.248041 -0.489639 7.280000 0.000000 0.025984
6.656196 0.522559 -1.246408 -0.602523 7.520000 0.000000 0.806533
7.092561 0.336535 -1.243174 -0.572790 7.300000 0.000000 0.284890
6.550633 2.761408 -1.231802 -0.543289 7.410000 0.000000 0.438491
5.997811 3.657638 -1.226395 -0.522772 7.580000 0.000000 0.696588
6.548746 1.308147 -1.220145 -0.567179 7.280000 0.000000 0.341924
5.501931 3.385067 -1.218237 -0.488424 9.380000 0.000000 0.164312
6.515088 2.801629 -1.218216 -0.543000 8.250000 0.000000 0.456235
5.607622 3.890374 -1.216045 -0.449499 8.690000 0.000000 0.226679
6.708664 2.301018 -1.216012 -0.543000 7.170000 0.000000 0.219211
5.934126 0.586125 -1.214548 -0.541500 7.180000 0.000000 0.163878
5.772151 0.815960 -1.213146 -0.563526 7.160000 0.000000 0.245942
